	(1)	(2)	(3)	(4)
VARIABLES	age	adults	children	income
				
D30	1.451	-0.0312*	-0.0341	-162.9
	(1.366)	(0.0169)	(0.0517)	(163.5)
m2_30	-1.242***	0.0309***	0.0562***	206.0***
	(0.425)	(0.00430)	(0.0143)	(47.70)
m2_30_D30	1.114**	-0.00393	-0.0271	22.49
	(0.486)	(0.00592)	(0.0174)	(60.17)
m2_30_sq	-0.0581	0.00138***	0.00221*	-4.983
	(0.0407)	(0.000429)	(0.00124)	(4.757)
m2_30_D30_sq	0.0364	-0.00150***	-0.000305	11.37**
	(0.0427)	(0.000510)	(0.00137)	(5.333)
Constant	51.09***	1.155***	0.318***	8,920***
	(1.067)	(0.00827)	(0.0402)	(103.6)
				
Observations	7,170	7,170	7,170	7,170
R-squared	0.019	0.101	0.070	0.292
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
