	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Age	Adults	Children	Income	Age	Adults	Children	Income
								
D30	-0.856	-0.039*	-0.092*	-387.034***				
	(0.652)	(0.020)	(0.050)	(137.096)				
m2_30	-0.239***	0.019***	0.043***	329.306***				
	(0.021)	(0.001)	(0.006)	(16.499)				
m2_30_D30	-0.116***	0.015***	0.010	-126.515***				
	(0.043)	(0.003)	(0.012)	(30.736)				
m2_30_sq		-0.000***	-0.000*	4.128***				
		(0.000)	(0.000)	(0.490)				
m2_30_D30_sq		-0.000***	0.000	4.280***				
		(0.000)	(0.001)	(1.356)				
D55					-3.269*	0.044	0.257	-1,136.943*
					(1.699)	(0.044)	(0.248)	(622.105)
m2_55					-0.226***	0.012***	0.063***	519.112***
					(0.062)	(0.002)	(0.008)	(17.329)
m2_55_D55					0.632***	-0.018***	-0.104***	299.803***
					(0.236)	(0.006)	(0.030)	(76.392)
m2_55_sq					0.006***	-0.000***	0.001**	7.277***
					(0.002)	(0.000)	(0.000)	(0.626)
m2_55_D55_sq					-0.018***	0.000***	0.001	-11.351***
					(0.006)	(0.000)	(0.001)	(1.863)
Constant	53.592***	1.146***	0.327***	9,193.124***	45.983***	1.522***	1.345***	16,191.670***
	(0.461)	(0.007)	(0.029)	(89.759)	(0.360)	(0.013)	(0.059)	(108.792)
								
Observations	9,604	9,604	9,604	9,604	9,604	9,604	9,604	9,604
R-squared	0.024	0.120	0.101	0.715	0.026	0.119	0.102	0.716
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
