	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	OLS	OLS	OLS	OLS	OLS	OLS	OLS
							
D	0.5411***	-0.0402	0.1280	0.1451**	-0.0402	0.1280	0.1451**
	(0.1439)	(0.1363)	(0.0915)	(0.0584)	(0.1363)	(0.0915)	(0.0584)
lnemp	1.4889***	1.4438***	2.0137***	1.4999***	1.4438***	2.0137***	1.4999***
	(0.0789)	(0.0676)	(0.4366)	(0.4272)	(0.0676)	(0.4366)	(0.4272)
80.year		-0.0178	-0.0271	0.0228	-0.0178	-0.0271	0.0228
		(0.0322)	(0.0335)	(0.0319)	(0.0322)	(0.0335)	(0.0319)
81.year		-0.0346	-0.0521	0.0501	-0.0346	-0.0521	0.0501
		(0.0497)	(0.0518)	(0.0498)	(0.0497)	(0.0518)	(0.0498)
82.year		-0.0323	-0.0465	0.0943*	-0.0323	-0.0465	0.0943*
		(0.0574)	(0.0609)	(0.0561)	(0.0574)	(0.0609)	(0.0561)
83.year		0.0052	-0.0478	0.1425***	0.0052	-0.0478	0.1425***
		(0.0578)	(0.0606)	(0.0460)	(0.0578)	(0.0606)	(0.0460)
84.year		0.3266***	0.2379***	0.4986***	0.3266***	0.2379***	0.4986***
		(0.0663)	(0.0673)	(0.0492)	(0.0663)	(0.0673)	(0.0492)
85.year		0.5247***	0.3975***	0.7175***	0.5247***	0.3975***	0.7175***
		(0.0867)	(0.0851)	(0.0604)	(0.0867)	(0.0851)	(0.0604)
86.year		0.6163***	0.4701***	0.8455***	0.6163***	0.4701***	0.8455***
		(0.0881)	(0.0924)	(0.0651)	(0.0881)	(0.0924)	(0.0651)
87.year		0.7196***	0.5428***	0.9771***	0.7196***	0.5428***	0.9771***
		(0.1009)	(0.1059)	(0.0753)	(0.1009)	(0.1059)	(0.0753)
88.year		1.0049***	0.8030***	1.3015***	1.0049***	0.8030***	1.3015***
		(0.1066)	(0.1147)	(0.0701)	(0.1066)	(0.1147)	(0.0701)
89.year		1.0625***	0.8479***	1.4095***	1.0625***	0.8479***	1.4095***
		(0.1025)	(0.1209)	(0.0782)	(0.1025)	(0.1209)	(0.0782)
90.year		1.0843***	0.8594***	1.4787***	1.0843***	0.8594***	1.4787***
		(0.1076)	(0.1366)	(0.0854)	(0.1076)	(0.1366)	(0.0854)
91.year		1.1272***	0.9054***	1.5701***	1.1272***	0.9054***	1.5701***
		(0.1079)	(0.1436)	(0.0853)	(0.1079)	(0.1436)	(0.0853)
92.year		1.2574***	1.0282***	1.7479***	1.2574***	1.0282***	1.7479***
		(0.1069)	(0.1470)	(0.0899)	(0.1069)	(0.1470)	(0.0899)
93.year		1.5003***	1.2570***	2.0377***	1.5003***	1.2570***	2.0377***
		(0.1115)	(0.1482)	(0.0980)	(0.1115)	(0.1482)	(0.0980)
94.year		1.6094***	1.3476***	2.1933***	1.6094***	1.3476***	2.1933***
		(0.1158)	(0.1621)	(0.1144)	(0.1158)	(0.1621)	(0.1144)
95.year		1.6816***	1.4045***	2.3123***	1.6816***	1.4045***	2.3123***
		(0.1173)	(0.1734)	(0.1267)	(0.1173)	(0.1734)	(0.1267)
12.state			0.5731***	4.1610***		0.5731***	4.1610***
			(0.0484)	(0.4648)		(0.0484)	(0.4648)
13.state			0.1322	-2.9895***		0.1322	-2.9895***
			(0.3109)	(0.4977)		(0.3109)	(0.4977)
14.state			-0.7552	9.1103***		-0.7552	9.1103***
			(0.7876)	(1.4118)		(0.7876)	(1.4118)
15.state			1.1248***	5.0000***		1.1248***	5.0000***
			(0.0988)	(0.4166)		(0.0988)	(0.4166)
16.state			-0.2493	10.6095***		-0.2493	10.6095***
			(0.5132)	(1.1365)		(0.5132)	(1.1365)
21.state			-1.8333	9.8483***		-1.8333	9.8483***
			(1.2151)	(1.7381)		(1.2151)	(1.7381)
22.state			-1.1566	9.5872***		-1.1566	9.5872***
			(0.8595)	(1.3047)		(0.8595)	(1.3047)
23.state			-1.6484	6.6109***		-1.6484	6.6109***
			(1.0323)	(1.4175)		(1.0323)	(1.4175)
31.state			-1.4734	3.8346***		-1.4734	3.8346***
			(0.9893)	(1.2997)		(0.9893)	(1.2997)
32.state			-1.0338	3.7232***		-1.0338	3.7232***
			(0.6989)	(0.9323)		(0.6989)	(0.9323)
33.state			-1.4965	3.8554***		-1.4965	3.8554***
			(1.0237)	(1.3041)		(1.0237)	(1.3041)
34.state			-1.2009	3.8983***		-1.2009	3.8983***
			(0.8931)	(1.0541)		(0.8931)	(1.0541)
35.state			-0.7375	7.7099***		-0.7375	7.7099***
			(0.6565)	(0.8332)		(0.6565)	(0.8332)
41.state			-0.4564	9.2523***		-0.4564	9.2523***
			(0.6213)	(0.6997)		(0.6213)	(0.6997)
42.state			-0.7799*	5.7271***		-0.7799*	5.7271***
			(0.3936)	(0.8075)		(0.3936)	(0.8075)
43.state			-0.8592	6.3539***		-0.8592	6.3539***
