	(1)	(2)	(3)
VARIABLES	OLS	OLS	OLS
			
D	0.1451***	0.1451***	0.1451**
	(0.0340)	(0.0344)	(0.0584)
lnemp	1.4999***	1.4999***	1.4999***
	(0.2162)	(0.2745)	(0.4272)
80.year	0.0228	0.0228	0.0228
	(0.0407)	(0.0457)	(0.0319)
81.year	0.0501	0.0501	0.0501
	(0.0441)	(0.0460)	(0.0498)
82.year	0.0943*	0.0943*	0.0943*
	(0.0490)	(0.0501)	(0.0561)
83.year	0.1425**	0.1425***	0.1425***
	(0.0554)	(0.0465)	(0.0460)
84.year	0.4986***	0.4986***	0.4986***
	(0.0635)	(0.0538)	(0.0492)
85.year	0.7175***	0.7175***	0.7175***
	(0.0725)	(0.0649)	(0.0604)
86.year	0.8455***	0.8455***	0.8455***
	(0.0813)	(0.0741)	(0.0651)
87.year	0.9771***	0.9771***	0.9771***
	(0.0910)	(0.0838)	(0.0753)
88.year	1.3015***	1.3015***	1.3015***
	(0.1014)	(0.0847)	(0.0701)
89.year	1.4095***	1.4095***	1.4095***
	(0.1115)	(0.0940)	(0.0782)
90.year	1.4787***	1.4787***	1.4787***
	(0.1212)	(0.1022)	(0.0854)
91.year	1.5701***	1.5701***	1.5701***
	(0.1294)	(0.1083)	(0.0853)
92.year	1.7479***	1.7479***	1.7479***
	(0.1389)	(0.1133)	(0.0899)
93.year	2.0377***	2.0377***	2.0377***
	(0.1494)	(0.1221)	(0.0980)
94.year	2.1933***	2.1933***	2.1933***
	(0.1605)	(0.1324)	(0.1144)
95.year	2.3123***	2.3123***	2.3123***
	(0.1713)	(0.1418)	(0.1267)
12.state	4.1610***	4.1610**	4.1610***
	(1.2383)	(1.8405)	(0.4648)
13.state	-2.9895**	-2.9895	-2.9895***
	(1.2466)	(2.0288)	(0.4977)
14.state	9.1103***	9.1103***	9.1103***
	(1.3763)	(1.1494)	(1.4118)
15.state	5.0000***	5.0000***	5.0000***
	(1.2217)	(1.1595)	(0.4166)
16.state	10.6095***	10.6095***	10.6095***
	(1.3177)	(1.0996)	(1.1365)
21.state	9.8483***	9.8483***	9.8483***
	(1.4713)	(1.2915)	(1.7381)
22.state	9.5872***	9.5872***	9.5872***
	(1.3528)	(1.1938)	(1.3047)
23.state	6.6109***	6.6109***	6.6109***
	(1.3979)	(1.1216)	(1.4175)
31.state	3.8346***	3.8346***	3.8346***
	(1.3570)	(1.0752)	(1.2997)
32.state	3.7232***	3.7232***	3.7232***
	(1.2820)	(1.0082)	(0.9323)
33.state	3.8554***	3.8554***	3.8554***
	(1.3737)	(1.1331)	(1.3041)
34.state	3.8983***	3.8983***	3.8983***
	(1.3119)	(1.2711)	(1.0541)
35.state	7.7099***	7.7099***	7.7099***
	(1.2669)	(0.8984)	(0.8332)
41.state	9.2523***	9.2523***	9.2523***
	(1.2487)	(1.2094)	(0.6997)
42.state	5.7271***	5.7271***	5.7271***
	(1.2642)	(1.1566)	(0.8075)
43.state	6.3539***	6.3539***	6.3539***
	(1.2604)	(0.9157)	(0.7096)
44.state	1.8322	1.8322	1.8322***
	(1.2259)	(2.2470)	(0.3932)
45.state	3.9924***	3.9924**	3.9924***
	(1.2433)	(1.8794)	(0.4943)
46.state	4.2724***	4.2724***	4.2724***
	(1.2237)	(0.9530)	(0.4251)
47.state	0.4721	0.4721	0.4721
	(1.2433)	(0.8938)	(0.6461)
51.state	10.1690***	10.1690***	10.1690***
	(1.2236)	(1.0143)	(0.4052)
52.state	8.2288***	8.2288***	8.2288***
	(1.2672)	(0.9534)	(0.8355)
54.state	6.7052***	6.7052***	6.7052***
	(1.2418)	(0.9692)	(0.6396)
55.state	5.4915***	5.4915***	5.4915***
	(1.2771)	(0.9764)	(0.9015)
56.state	0.6148	0.6148	0.6148
	(1.2311)	(0.9053)	(0.5171)
57.state	0.1733	0.1733	0.1733
	(1.2426)	(0.8363)	(0.6042)
58.state	4.5975***	4.5975***	4.5975***
	(1.2166)	(0.8162)	(0.3511)
59.state	2.9107**	2.9107***	2.9107***
	(1.2184)	(0.8587)	(0.3745)
61.state	3.4298***	3.4298***	3.4298***
	(1.2315)	(0.9352)	(0.5337)
